llm,function,placeholder,inferred,ground
gemini,_string_replace_all,param_2,substringToReplace,oldStr,0.5970983505249023
claud,_string_replace_all,param_2,searchStr,oldStr,0.6013622283935547
gpt3,_string_replace_all,param_2,substring,oldStr,0.6241253018379211
gpt4,_string_replace_all,param_2,search_substring,oldStr,0.5271750688552856
gemini,_string_replace_all,param_3,replacementSubstring,newStr,0.6183142066001892
claud,_string_replace_all,param_3,replaceStr,newStr,0.687541663646698
gpt3,_string_replace_all,param_3,substringLength,newStr,0.6174007654190063
gpt4,_string_replace_all,param_3,replacement_string,newStr,0.6059016585350037
gemini,_string_replace_all,pcVar2,substringLocation,end,0.5009922981262207
claud,_string_replace_all,pcVar2,foundPtr,end,0.4703482389450073
gpt3,_string_replace_all,pcVar2,substringPtr,end,0.4538852572441101
gpt4,_string_replace_all,pcVar2,substring_location,end,0.5009922981262207
gemini,_string_replace_all,puVar1,newString,temp,0.5486637949943542
claud,_string_replace_all,puVar1,newStringPtr,temp,0.5176168084144592
gpt3,_string_replace_all,puVar1,newStringPtr,temp,0.5176168084144592
gpt4,_string_replace_all,puVar1,result_string,temp,0.4925558865070343
gemini,_string_resize,lVar1,allocatedMemory,newData,0.43948107957839966
claud,_string_resize,lVar1,newDataPtr,newData,0.6688120365142822
gpt3,_string_resize,lVar1,newBufferAddress,newData,0.5352151393890381
gpt4,_string_resize,lVar1,new_memory_address,newData,0.49402010440826416
gemini,_string_resize,param_1,stringObject,str,0.6900297999382019
claud,_string_resize,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_resize,param_1,stringBuffer,str,0.6193804144859314
gpt4,_string_resize,param_1,string_object,str,0.6900297999382019
gemini,_string_resize,param_2,newSize,newSize,1.0000001192092896
claud,_string_resize,param_2,newSize,newSize,1.0000001192092896
gpt3,_string_resize,param_2,newSize,newSize,1.0000001192092896
gpt4,_string_resize,param_2,new_size,newSize,1.0000001192092896
gemini,_string_reverse,local_1c,originalLength,index,0.5219699740409851
claud,_string_reverse,local_1c,originalStrIndex,index,0.6836066246032715
gpt3,_string_reverse,local_1c,strLength,index,0.4354407787322998
gemini,_string_reverse,local_20,currentIndex,j,0.4584957957267761
claud,_string_reverse,local_20,revStrIndex,j,0.5106737017631531
gpt3,_string_reverse,local_20,index,j,0.5871275663375854
gpt4,_string_reverse,local_20,write_index,j,0.44508329033851624
gemini,_string_reverse,param_1,stringObject,str,0.6900297999382019
claud,_string_reverse,param_1,stringObjPtr,str,0.554861307144165
gpt3,_string_reverse,param_1,inputArr,str,0.5407071113586426
gpt4,_string_reverse,param_1,string_obj_ptr,str,0.554861307144165
gemini,_string_reverse,pvVar1,reversedString,reverse,0.6879940629005432
claud,_string_reverse,pvVar1,reversedStrPtr,reverse,0.5560750365257263
gpt3,_string_reverse,pvVar1,reversedStr,reverse,0.6825408339500427
gpt4,_string_reverse,pvVar1,reversed_buffer,reverse,0.6139689683914185
gemini,_string_rfind,local_34,currentPosition,i,0.490193247795105
claud,_string_rfind,local_34,currPos,i,0.5827072858810425
gpt3,_string_rfind,local_34,currentPosition,i,0.490193247795105
gemini,_string_rfind,param_1,stringObject,str,0.6900297999382019
claud,_string_rfind,param_1,stringObj,str,0.6848109364509583
gpt3,_string_rfind,param_1,stringObjPtr,str,0.554861307144165
gpt4,_string_rfind,param_1,string_object_pointer,str,0.501876175403595
gemini,_string_rfind,param_2,buffer,buffer,0.9999999403953552
claud,_string_rfind,param_2,searchBuffer,buffer,0.7336841821670532
gpt3,_string_rfind,param_2,searchBuffer,buffer,0.7336841821670532
gpt4,_string_rfind,param_2,search_string,buffer,0.4540526568889618
gemini,_string_rfind,param_3,position,pos,0.848685622215271
claud,_string_rfind,param_3,searchPos,pos,0.8084734082221985
gpt3,_string_rfind,param_3,position,pos,0.848685622215271
gpt4,_string_rfind,param_3,start_position,pos,0.789771318435669
gemini,_string_rfind,sVar2,bufferLength,bufferLen,0.9560507535934448
claud,_string_rfind,sVar2,searchLen,bufferLen,0.5965040922164917
gpt3,_string_rfind,sVar2,bufferLength,bufferLen,0.9560507535934448
gpt4,_string_rfind,sVar2,search_string_length,bufferLen,0.6422200202941895
gemini,_string_set_pool_size,lVar1,newMemoryPool,newData,0.3811902403831482
claud,_string_set_pool_size,lVar1,poolPtr,newData,0.25705233216285706
gpt3,_string_set_pool_size,lVar1,result,newData,0.5304380059242249
gpt4,_string_set_pool_size,lVar1,memory_address_or_result,newData,0.3539732098579407
gemini,_string_set_pool_size,param_1,stringSetPointer,str,0.4668252468109131
claud,_string_set_pool_size,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_set_pool_size,param_1,memoryPool,str,0.2826046645641327
gpt4,_string_set_pool_size,param_1,string_set,str,0.6018621325492859
gemini,_string_set_pool_size,param_2,newPoolSize,newSize,0.6588221192359924
claud,_string_set_pool_size,param_2,newPoolSize,newSize,0.6588221192359924
gpt3,_string_set_pool_size,param_2,newSize,newSize,1.0000001192092896
gpt4,_string_set_pool_size,param_2,new_pool_size,newSize,0.6588221192359924
gemini,_string_shrink_to_fit,lVar1,newStringLength,newCapacity,0.6126934289932251
claud,_string_shrink_to_fit,lVar1,newCapacity,newCapacity,1.0000001192092896
gpt3,_string_shrink_to_fit,lVar1,oldLength,newCapacity,0.5606600642204285
gpt4,_string_shrink_to_fit,lVar1,current_length,newCapacity,0.5946605801582336
gemini,_string_shrink_to_fit,lVar2,newStringBuffer,newData,0.6659467220306396
claud,_string_shrink_to_fit,lVar2,newDataPtr,newData,0.6688120365142822
gpt3,_string_shrink_to_fit,lVar2,newStringPtr,newData,0.51796954870224
gemini,_string_shrink_to_fit,param_1,stringObject,str,0.6900297999382019
claud,_string_shrink_to_fit,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_shrink_to_fit,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_shrink_to_fit,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_shuffle,cVar1,tempChar,temp,0.8005458116531372
claud,_string_shuffle,cVar1,tempChar,temp,0.8005458116531372
gpt3,_string_shuffle,cVar1,tempChar,temp,0.8005458116531372
gpt4,_string_shuffle,cVar1,temp_char,temp,0.8005458116531372
gemini,_string_shuffle,iVar2,randomIndex,j,0.47914600372314453
claud,_string_shuffle,iVar2,randIndex,j,0.46054625511169434
gpt3,_string_shuffle,iVar2,randomIndex,j,0.47914600372314453
gpt4,_string_shuffle,iVar2,random_index,j,0.47914600372314453
gemini,_string_shuffle,local_20,remainingCharacters,i,0.4439980387687683
claud,_string_shuffle,local_20,i,i,0.9999999403953552
gpt3,_string_shuffle,local_20,index,i,0.7403911352157593
gemini,_string_shuffle,param_1,stringObject,str,0.6900297999382019
claud,_string_shuffle,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_shuffle,param_1,inputString,str,0.6509467959403992
gpt4,_string_shuffle,param_1,string_ptr,str,0.7024031281471252
gemini,_string_shuffle,uVar4,stringLength,length,0.8391232490539551
claud,_string_shuffle,uVar4,stringLength,length,0.8391232490539551
gpt3,_string_shuffle,uVar4,stringLength,length,0.8391232490539551
gpt4,_string_shuffle,uVar4,string_length,length,0.8391232490539551
gemini,_string_split,local_10,splitArrayPtr,splits,0.7545129656791687
claud,_string_split,local_10,splits,splits,1.000000238418579
gpt3,_string_split,local_10,splitsArray,splits,0.9438378810882568
gemini,_string_split,local_30,splitCount,num_splits,0.9037675261497498
claud,_string_split,local_30,numTokens,num_splits,0.5429645776748657
gpt3,_string_split,local_30,splitsCountCalculated,num_splits,0.8784835338592529
gpt4,_string_split,local_30,total_tokens,num_splits,0.5103483200073242
gemini,_string_split,local_40,token,token,0.9999998807907104
claud,_string_split,local_40,token,token,0.9999998807907104
gpt3,_string_split,local_40,token,token,0.9999998807907104
gpt4,_string_split,local_40,current_token,token,0.6462488770484924
gemini,_string_split,param_1,stringToSplit,str,0.5668034553527832
claud,_string_split,param_1,stringObj,str,0.6848109364509583
gpt3,_string_split,param_1,inputString,str,0.6509467959403992
gpt4,_string_split,param_1,input_string_ptr,str,0.6614446640014648
gemini,_string_split,param_2,delimiter,delimiter,1.0
claud,_string_split,param_2,delimiter,delimiter,1.0
gpt3,_string_split,param_2,delimiter,delimiter,1.0
gpt4,_string_split,param_2,delimiter,delimiter,1.0
gemini,_string_split,param_3,splitCountOut,count,0.5283904671669006
claud,_string_split,param_3,numSplits,count,0.5339706540107727
gpt3,_string_split,param_3,splitsCount,count,0.5598050355911255
gpt4,_string_split,param_3,token_count_ptr,count,0.5824597477912903
gemini,_string_split,pcVar1,nextToken,temp,0.41454076766967773
claud,_string_split,pcVar1,dupStr,temp,0.49741339683532715
gpt4,_string_split,pcVar1,temp_string,temp,0.8414000272750854
claud,_string_starts_with,param_1,stringObj,str,0.6848109364509583
gpt3,_string_starts_with,param_1,stringArray,str,0.675433874130249
gpt4,_string_starts_with,param_1,string_object,str,0.6900297999382019
claud,_string_starts_with,param_2,substring,substr,0.898354172706604
gpt3,_string_starts_with,param_2,substring,substr,0.898354172706604
gpt4,_string_starts_with,param_2,substring,substr,0.898354172706604
claud,_string_starts_with,pcVar2,substringLength,substrLen,0.889977216720581
gpt3,_string_starts_with,pcVar2,substringLength,substrLen,0.889977216720581
gpt4,_string_starts_with,pcVar2,substring_length,substrLen,0.889977216720581
gemini,_string_strdup,local_10,duplicatedString,new_str,0.5364096760749817
claud,_string_strdup,local_10,dupStr,new_str,0.7168332934379578
gpt3,_string_strdup,local_10,newStrPtr,new_str,0.8232713937759399
gemini,_string_strdup,param_1,stringToDuplicate,s,0.46405255794525146
claud,_string_strdup,param_1,strToDup,s,0.5336796641349792
gpt3,_string_strdup,param_1,inputStr,s,0.49787041544914246
gpt4,_string_strdup,param_1,source_string,s,0.51336270570755
gemini,_string_substr,local_10,substringObject,substr,0.6638316512107849
claud,_string_substr,local_10,substrObj,substr,0.7703791856765747
gpt3,_string_substr,local_10,resultStringPtr,substr,0.4200253486633301
gpt4,_string_substr,local_10,new_string_object,substr,0.5150379538536072
gemini,_string_substr,param_1,stringObject,str,0.6900297999382019
claud,_string_substr,param_1,stringObj,str,0.6848109364509583
gpt3,_string_substr,param_1,stringObjectPtr,str,0.582994818687439
gpt4,_string_substr,param_1,string_object,str,0.6900297999382019
gemini,_string_substr,param_2,startIndex,pos,0.7221594452857971
claud,_string_substr,param_2,startPos,pos,0.7898558378219604
gpt3,_string_substr,param_2,substringStartIndex,pos,0.6389392614364624
gpt4,_string_substr,param_2,start_position,pos,0.789771318435669
gemini,_string_substr,param_3,maxLength,len,0.7629084587097168
claud,_string_substr,param_3,substrLength,len,0.807410717010498
gpt3,_string_substr,param_3,substringLength,len,0.8301892876625061
gpt4,_string_substr,param_3,substring_length,len,0.8301892876625061
gemini,_string_swap,param_1,string1,str1,0.8739966154098511
claud,_string_swap,param_1,str1Ptr,str1,0.8208478689193726
gpt3,_string_swap,param_1,sourceString,str1,0.5736664533615112
gpt4,_string_swap,param_1,first_string,str1,0.6781802773475647
gemini,_string_swap,param_2,string2,str2,0.8816872835159302
claud,_string_swap,param_2,str2Ptr,str2,0.8194434642791748
gpt3,_string_swap,param_2,targetString,str2,0.51154625415802
gpt4,_string_swap,param_2,second_string,str2,0.6640061736106873
gemini,_string_swap,uVar1,string1Data,temp,0.4951859414577484
claud,_string_swap,uVar1,tempStr1Field1,temp,0.5019407272338867
gpt3,_string_swap,uVar1,tempValue1,temp,0.7385907769203186
gpt4,_string_swap,uVar1,temp_first_string_part0,temp,0.5503955483436584
gemini,_string_swap,uVar2,string1Next,temp,0.4152439534664154
claud,_string_swap,uVar2,tempStr1Field2,temp,0.4974939525127411
gpt3,_string_swap,uVar2,tempValue2,temp,0.6948701739311218
gpt4,_string_swap,uVar2,temp_first_string_part1,temp,0.5418880581855774
gemini,_string_swap,uVar3,string1Prev,temp,0.4388158917427063
claud,_string_swap,uVar3,tempStr1Field3,temp,0.4638270437717438
gpt3,_string_swap,uVar3,tempValue3,temp,0.6735556721687317
gpt4,_string_swap,uVar3,temp_first_string_part2,temp,0.5158758759498596
gemini,_string_swap,uVar4,string1Len,temp,0.42187997698783875
claud,_string_swap,uVar4,tempStr1Field4,temp,0.5129303932189941
gpt3,_string_swap,uVar4,tempValue4,temp,0.717843234539032
gemini,_string_swap_case,local_18,charIndex,i,0.6618396639823914
claud,_string_swap_case,local_18,index,i,0.7403911352157593
gpt3,_string_swap_case,local_18,index,i,0.7403911352157593
gemini,_string_swap_case,param_1,str,str,1.0
claud,_string_swap_case,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_swap_case,param_1,strPtr,str,0.7935091853141785
gpt4,_string_swap_case,param_1,string_struct,str,0.6114717721939087
gemini,_string_to_bool_from_cstr,param_1,stringToConvert,boolstr,0.5640657544136047
claud,_string_to_bool_from_cstr,param_1,boolStr,boolstr,0.955939531326294
gpt3,_string_to_bool_from_cstr,param_1,str,boolstr,0.740408718585968
gpt4,_string_to_bool_from_cstr,param_1,input_str,boolstr,0.6544971466064453
gemini,_string_to_capitalize,param_1,stringObject,str,0.6900297999382019
claud,_string_to_capitalize,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_to_capitalize,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_to_capitalize,param_1,string_ptr,str,0.7024031281471252
gemini,_string_to_casefold,local_18,charIndex,i,0.6618396639823914
claud,_string_to_casefold,local_18,charIndex,i,0.6618396639823914
gpt3,_string_to_casefold,local_18,index,i,0.7403911352157593
gemini,_string_to_casefold,param_1,inputString,str,0.6509467959403992
claud,_string_to_casefold,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_to_casefold,param_1,inputArray,str,0.49866539239883423
gpt4,_string_to_casefold,param_1,string_info,str,0.7043172717094421
gemini,_string_to_double,param_1,stringPtr,str,0.7024031281471252
claud,_string_to_double,param_1,strPtr,str,0.7935091853141785
gpt3,_string_to_double,param_1,stringArray,str,0.675433874130249
gpt4,_string_to_double,param_1,string_ptr,str,0.7024031281471252
gemini,_string_to_float,param_1,inputString,str,0.6509467959403992
claud,_string_to_float,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_to_float,param_1,stringPointer,str,0.5930760502815247
gpt4,_string_to_float,param_1,string_ptr,str,0.7024031281471252
gemini,_string_to_hex,len,inputStringLength,str,0.5626363158226013
gpt3,_string_to_hex,len,inputStringLength,str,0.5626363158226013
gpt4,_string_to_hex,len,output_length,str,0.4876713752746582
gemini,_string_to_hex,local_20,outputHexString,hexStr,0.7428675889968872
claud,_string_to_hex,local_20,hexString,hexStr,0.8978001475334167
gpt3,_string_to_hex,local_20,hexString,hexStr,0.8978001475334167
gpt4,_string_to_hex,local_20,hex_output_string,hexStr,0.7673496007919312
gemini,_string_to_hex,local_28,currentCharacterIndex,i,0.5644713044166565
claud,_string_to_hex,local_28,charIndex,i,0.6618396639823914
gpt3,_string_to_hex,local_28,index,i,0.7403911352157593
gpt4,_string_to_hex,local_28,char_index,i,0.6618396639823914
gemini,_string_to_hex,local_2b,hexBuffer,buffer,0.8216185569763184
claud,_string_to_hex,local_2b,hexCharBuffer,buffer,0.7034345865249634
gpt3,_string_to_hex,local_2b,hexByteStr,buffer,0.5186880230903625
gpt4,_string_to_hex,local_2b,hex_char_buffer,buffer,0.7034345865249634
gemini,_string_to_hex,str,inputString,str,0.6509467959403992
gpt3,_string_to_hex,str,inputString,str,0.6509467959403992
gpt4,_string_to_hex,str,input_string,str,0.6509467959403992
gemini,_string_to_int,param_1,inputString,str,0.6509467959403992
claud,_string_to_int,param_1,strPtr,str,0.7935091853141785
gpt3,_string_to_int,param_1,stringArray,str,0.675433874130249
gpt4,_string_to_int,param_1,string_ptr,str,0.7024031281471252
gemini,_string_to_lower,local_10,outputString,lower,0.4369329512119293
claud,_string_to_lower,local_10,lowercaseStr,lower,0.7087679505348206
gpt3,_string_to_lower,local_10,resultString,lower,0.4454784393310547
gemini,_string_to_lower,local_28,currentIndex,index,0.7685567140579224
claud,_string_to_lower,local_28,index,index,1.0
gpt3,_string_to_lower,local_28,indexCounter,index,0.7683302164077759
gpt4,_string_to_lower,local_28,char_index,index,0.6866204738616943
gemini,_string_to_lower,param_1,inputString,str,0.6509467959403992
claud,_string_to_lower,param_1,strPtr,str,0.7935091853141785
gpt3,_string_to_lower,param_1,inputArray,str,0.49866539239883423
gpt4,_string_to_lower,param_1,string_info,str,0.7043172717094421
gemini,_string_to_title,bVar1,isFirstCharOfWord,capitalize,0.4321960508823395
claud,_string_to_title,bVar1,isNewWord,capitalize,0.4159005880355835
gpt3,_string_to_title,bVar1,isFirstAlpha,capitalize,0.5334609746932983
gpt4,_string_to_title,bVar1,capitalize_next_char,capitalize,0.6925227642059326
gemini,_string_to_title,local_20,stringIndex,i,0.6518666744232178
claud,_string_to_title,local_20,charIndex,i,0.6618396639823914
gpt3,_string_to_title,local_20,index,i,0.7403911352157593
gemini,_string_to_title,param_1,stringObj,str,0.6848109364509583
claud,_string_to_title,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_to_title,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_to_title,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_to_unicode,local_10,convertedString,wstr,0.5667934417724609
claud,_string_to_unicode,local_10,unicodeString,wstr,0.6238884925842285
gpt3,_string_to_unicode,local_10,unicodeString,wstr,0.6238884925842285
gemini,_string_to_unicode,param_1,inputString,str,0.6509467959403992
claud,_string_to_unicode,param_1,inputString,str,0.6509467959403992
gpt3,_string_to_unicode,param_1,inputString,str,0.6509467959403992
gpt4,_string_to_unicode,param_1,input_string,str,0.6509467959403992
gemini,_string_to_unicode,sVar1,requiredSize,len,0.667182207107544
claud,_string_to_unicode,sVar1,convertedLength,len,0.7373841404914856
gpt3,_string_to_unicode,sVar1,conversionResult,len,0.3350502848625183
gpt4,_string_to_unicode,sVar1,required_size,len,0.667182207107544
gemini,_string_to_upper,local_10,upperString,upper,0.8156741857528687
claud,_string_to_upper,local_10,resultStr,upper,0.37002062797546387
gpt3,_string_to_upper,local_10,resultString,upper,0.398973286151886
gemini,_string_to_upper,local_28,currentCharIndex,index,0.6092520356178284
claud,_string_to_upper,local_28,index,index,1.0
gpt3,_string_to_upper,local_28,index,index,1.0
gpt4,_string_to_upper,local_28,char_index,index,0.6866204738616943
gemini,_string_to_upper,param_1,str,str,1.0
claud,_string_to_upper,param_1,strPtr,str,0.7935091853141785
gpt3,_string_to_upper,param_1,inputArrayPtr,str,0.4873180091381073
gpt4,_string_to_upper,param_1,string_info,str,0.7043172717094421
claud,_string_tokenize,local_10,tokens,tokens,1.0000001192092896
gpt3,_string_tokenize,local_10,tokenArray,tokens,0.8334071040153503
claud,_string_tokenize,local_30,numTokens,num_tokens,1.0
gpt3,_string_tokenize,local_30,numTokens,num_tokens,1.0
gpt4,_string_tokenize,local_30,token_count,num_tokens,0.8097222447395325
claud,_string_tokenize,local_40,tokenPtr,token,0.7415370345115662
gpt3,_string_tokenize,local_40,token,token,0.9999998807907104
gpt4,_string_tokenize,local_40,current_token,token,0.6462488770484924
claud,_string_tokenize,local_50,tokenIndex,idx,0.59160977602005
gpt3,_string_tokenize,local_50,tokenIndex,idx,0.59160977602005
gpt4,_string_tokenize,local_50,token_index,idx,0.59160977602005
claud,_string_tokenize,local_58,i,i,0.9999999403953552
gpt3,_string_tokenize,local_58,loopCounterOuter,i,0.43463870882987976
gpt4,_string_tokenize,local_58,dealloc_index,i,0.5679845809936523
claud,_string_tokenize,param_1,inputString,str,0.6509467959403992
gpt3,_string_tokenize,param_1,inputString,str,0.6509467959403992
gpt4,_string_tokenize,param_1,input_string_ptr,str,0.6614446640014648
claud,_string_tokenize,param_2,delimiters,delimiters,1.0
gpt3,_string_tokenize,param_2,delimiter,delimiters,0.88869309425354
gpt4,_string_tokenize,param_2,delimiter,delimiters,0.88869309425354
claud,_string_tokenize,param_3,tokenCount,count,0.6960905194282532
gpt3,_string_tokenize,param_3,numTokens,count,0.585073709487915
gpt4,_string_tokenize,param_3,token_count_ptr,count,0.5824597477912903
claud,_string_tokenize,pcVar1,dupString,temp_str,0.6426242589950562
gpt4,_string_tokenize,pcVar1,str_duplicate,temp_str,0.5976282954216003
gpt3,_string_tokenize,pc_var1,tokenizedString,temp_str,0.5482742190361023
gemini,_string_trim,param_1,stringObject,str,0.6900297999382019
claud,_string_trim,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_trim,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_trim,param_1,string_ptr,str,0.7024031281471252
gemini,_string_trim_characters,local_20,stringDataStart,start,0.7585017681121826
claud,_string_trim_characters,local_20,startPtr,start,0.8436087369918823
gpt3,_string_trim_characters,local_20,startPtr,start,0.8436087369918823
gemini,_string_trim_characters,local_28,stringDataEnd,end,0.5651190876960754
claud,_string_trim_characters,local_28,endPtr,end,0.8062424063682556
gpt3,_string_trim_characters,local_28,endPtr,end,0.8062424063682556
gpt4,_string_trim_characters,local_28,end_ptr,end,0.8062424063682556
gemini,_string_trim_characters,param_1,stringObject,str,0.6900297999382019
claud,_string_trim_characters,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_trim_characters,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_trim_characters,param_1,string_ref,str,0.6279523372650146
gemini,_string_trim_characters,param_2,charsToTrim,chars,0.8060261607170105
claud,_string_trim_characters,param_2,trimChars,chars,0.7765803337097168
gpt3,_string_trim_characters,param_2,charactersToTrim,chars,0.8155094385147095
gpt4,_string_trim_characters,param_2,trim_chars,chars,0.7765803337097168
gemini,_string_trim_left,local_18,trimOffset,i,0.49877747893333435
claud,_string_trim_left,local_18,leftTrimIndex,i,0.45059892535209656
gpt3,_string_trim_left,local_18,trimIndex,i,0.6226078271865845
gemini,_string_trim_left,param_1,stringPtr,str,0.7024031281471252
claud,_string_trim_left,param_1,stringObj,str,0.6848109364509583
gpt3,_string_trim_left,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_trim_left,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_trim_right,local_18,stringLength,i,0.461946040391922
claud,_string_trim_right,local_18,index,i,0.7403911352157593
gpt3,_string_trim_right,local_18,currentLength,i,0.5179278254508972
gemini,_string_trim_right,param_1,string,str,0.8258129954338074
claud,_string_trim_right,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_trim_right,param_1,stringPointer,str,0.5930760502815247
gpt4,_string_trim_right,param_1,string_ptr,str,0.7024031281471252
gemini,_string_utf8_char_len,param_1,character,c,0.533953070640564
claud,_string_utf8_char_len,param_1,charCode,c,0.5116567611694336
gpt3,_string_utf8_char_len,param_1,utf8Char,c,0.4644238352775574
gpt4,_string_utf8_char_len,param_1,first_byte,c,0.4790870249271393
